999,16,999,999,999,32,999,999,999,999,999,999,999,999,999,999
16,999,16,15,999,999,999,999,999,999,999,999,999,999,999,999
999,16,999,8,6,999,999,999,999,999,999,999,999,999,999,999
999,15,8,999,12,14,5,999,999,999,999,999,999,999,999,999
999,999,6,12,999,999,999,999,999,20,32,999,999,999,999,999
32,999,999,14,999,999,7,6,999,999,999,999,999,999,999,999
999,999,999,5,999,7,999,999,12,999,999,999,999,999,999,999
999,999,999,999,999,6,999,999,22,999,999,18,7,999,9,999
999,999,999,999,999,999,12,22,999,30,999,999,999,999,999,999
999,999,999,999,20,999,999,999,30,999,14,999,999,999,999,999
999,999,999,999,32,999,999,999,999,14,999,999,999,999,999,999
999,999,999,999,999,999,999,18,999,999,999,999,999,27,25,999
999,999,999,999,999,999,999,7,999,999,999,999,999,999,5,999
999,999,999,999,999,999,999,999,999,999,999,27,999,999,16,25
999,999,999,999,999,999,999,9,999,999,999,25,5,16,999,27
999,999,999,999,999,999,999,999,999,999,999,999,999,25,27,999
